Bob,Alice,N,4,4
Cecil,Bob,N,5,5
Cecil,Alice,Y,5,5
David,Alice,N,3,4
David,Bob,N,4,2
Esmeralda,Alice,Y,4,3
Frank,Alice,N,3,2
Frank,Esmeralda,N,4,4
Gabi,Bob,Y,5,5
Gabi,Alice,N,3,0
Helen,Alice,N,4,1
Iris,Cecil,N,0,1
Iris,Bob,Y,4,3
Iris,Esmeralda,N,5,5
James,Alice,N,3,2
James,Bob,Y,4,5
James,Gabi,Y,5,5
Alice,Bob,N,4,4
Bob,Cecil,N,5,5
Alice,Cecil,Y,5,5
Alice,David,N,0,3
Bob,David,N,4,1
Alice,Esmeralda,Y,3,1
Alice,Frank,N,3,3
Esmeralda,Frank,N,5,4
Bob,Gabi,Y,4,5
Alice,Gabi,N,0,1
Alice,Helen,N,4,3
Cecil,Iris,N,3,2
Bob,Iris,Y,3,2
Esmeralda,Iris,N,5,5
Alice,James,N,0,3
Bob,James,Y,4,3
Gabi,James,Y,5,4
